threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.1185,65,0.2025,0.9626,0.9424,0.9221
0.119,64,0.1994,0.9626,0.9427,0.9227
0.1195,64,0.1994,0.9626,0.9427,0.9227
0.12,63,0.1963,0.9626,0.943,0.9234
0.1205,61,0.19,0.9626,0.9436,0.9246
0.121,60,0.1869,0.9595,0.9408,0.9221
0.1215,60,0.1869,0.9595,0.9408,0.9221
0.122,60,0.1869,0.9595,0.9408,0.9221
0.1225,60,0.1869,0.9595,0.9408,0.9221
0.123,60,0.1869,0.9595,0.9408,0.9221
0.1235,60,0.1869,0.9595,0.9408,0.9221
0.124,60,0.1869,0.9595,0.9408,0.9221
0.1245,60,0.1869,0.9595,0.9408,0.9221
0.125,60,0.1869,0.9595,0.9408,0.9221
0.1255,60,0.1869,0.9595,0.9408,0.9221
0.126,60,0.1869,0.9595,0.9408,0.9221
0.1265,60,0.1869,0.9595,0.9408,0.9221
0.127,60,0.1869,0.9595,0.9408,0.9221
0.1275,60,0.1869,0.9595,0.9408,0.9221
0.128,60,0.1869,0.9595,0.9408,0.9221
0.1285,60,0.1869,0.9595,0.9408,0.9221
0.129,60,0.1869,0.9595,0.9408,0.9221
0.1295,60,0.1869,0.9595,0.9408,0.9221
0.13,60,0.1869,0.9595,0.9408,0.9221
0.1305,60,0.1869,0.9595,0.9408,0.9221
0.131,59,0.1838,0.9595,0.9411,0.9227
0.1315,58,0.1807,0.9595,0.9414,0.9234
0.132,58,0.1807,0.9595,0.9414,0.9234
0.1325,58,0.1807,0.9595,0.9414,0.9234
0.133,58,0.1807,0.9595,0.9414,0.9234
0.1335,57,0.1776,0.9595,0.9417,0.924
0.134,56,0.1745,0.9595,0.9421,0.9246
0.1345,56,0.1745,0.9595,0.9421,0.9246
0.135,56,0.1745,0.9595,0.9421,0.9246
0.1355,56,0.1745,0.9595,0.9421,0.9246
0.136,56,0.1745,0.9595,0.9421,0.9246
0.1365,54,0.1682,0.9564,0.9396,0.9227
0.137,54,0.1682,0.9564,0.9396,0.9227
0.1375,54,0.1682,0.9564,0.9396,0.9227
0.138,54,0.1682,0.9564,0.9396,0.9227
0.1385,54,0.1682,0.9564,0.9396,0.9227
0.139,54,0.1682,0.9564,0.9396,0.9227
0.1395,54,0.1682,0.9564,0.9396,0.9227
0.14,54,0.1682,0.9564,0.9396,0.9227
0.1405,53,0.1651,0.9564,0.9399,0.9234
0.141,53,0.1651,0.9564,0.9399,0.9234
0.1415,53,0.1651,0.9564,0.9399,0.9234
0.142,53,0.1651,0.9564,0.9399,0.9234
0.1425,53,0.1651,0.9564,0.9399,0.9234
0.143,53,0.1651,0.9564,0.9399,0.9234
0.1435,53,0.1651,0.9564,0.9399,0.9234
0.144,53,0.1651,0.9564,0.9399,0.9234
0.1445,53,0.1651,0.9564,0.9399,0.9234
0.145,53,0.1651,0.9564,0.9399,0.9234
0.1455,53,0.1651,0.9564,0.9399,0.9234
0.146,53,0.1651,0.9564,0.9399,0.9234
