threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.6215,2,0.0062,0.9097,0.909,0.9084
0.622,2,0.0062,0.9097,0.909,0.9084
0.6225,2,0.0062,0.9097,0.909,0.9084
0.623,2,0.0062,0.9097,0.909,0.9084
0.6235,2,0.0062,0.9097,0.909,0.9084
0.624,2,0.0062,0.9097,0.909,0.9084
0.6245,2,0.0062,0.9097,0.909,0.9084
0.625,2,0.0062,0.9097,0.909,0.9084
0.6255,2,0.0062,0.9097,0.909,0.9084
0.626,2,0.0062,0.9097,0.909,0.9084
0.6265,2,0.0062,0.9097,0.909,0.9084
0.627,2,0.0062,0.9097,0.909,0.9084
0.6275,2,0.0062,0.9097,0.909,0.9084
0.628,2,0.0062,0.9097,0.909,0.9084
0.6285,2,0.0062,0.9097,0.909,0.9084
0.629,2,0.0062,0.9097,0.909,0.9084
0.6295,2,0.0062,0.9097,0.909,0.9084
0.63,3,0.0093,0.9128,0.9118,0.9109
0.6305,3,0.0093,0.9128,0.9118,0.9109
0.631,3,0.0093,0.9128,0.9118,0.9109
0.6315,3,0.0093,0.9128,0.9118,0.9109
0.632,3,0.0093,0.9128,0.9118,0.9109
0.6325,3,0.0093,0.9128,0.9118,0.9109
0.633,3,0.0093,0.9128,0.9118,0.9109
0.6335,3,0.0093,0.9128,0.9118,0.9109
0.634,3,0.0093,0.9128,0.9118,0.9109
0.6345,3,0.0093,0.9128,0.9118,0.9109
0.635,3,0.0093,0.9128,0.9118,0.9109
0.6355,3,0.0093,0.9128,0.9118,0.9109
0.636,3,0.0093,0.9128,0.9118,0.9109
0.6365,3,0.0093,0.9128,0.9118,0.9109
0.637,3,0.0093,0.9128,0.9118,0.9109
0.6375,3,0.0093,0.9128,0.9118,0.9109
0.638,3,0.0093,0.9128,0.9118,0.9109
0.6385,3,0.0093,0.9128,0.9118,0.9109
0.639,3,0.0093,0.9128,0.9118,0.9109
0.6395,3,0.0093,0.9128,0.9118,0.9109
0.64,3,0.0093,0.9128,0.9118,0.9109
0.6405,3,0.0093,0.9128,0.9118,0.9109
0.641,3,0.0093,0.9128,0.9118,0.9109
0.6415,3,0.0093,0.9128,0.9118,0.9109
0.642,3,0.0093,0.9128,0.9118,0.9109
0.6425,3,0.0093,0.9128,0.9118,0.9109
0.643,3,0.0093,0.9128,0.9118,0.9109
0.6435,3,0.0093,0.9128,0.9118,0.9109
0.644,3,0.0093,0.9128,0.9118,0.9109
0.6445,3,0.0093,0.9128,0.9118,0.9109
0.645,3,0.0093,0.9128,0.9118,0.9109
0.6455,3,0.0093,0.9128,0.9118,0.9109
0.646,3,0.0093,0.9128,0.9118,0.9109
0.6465,3,0.0093,0.9128,0.9118,0.9109
0.647,3,0.0093,0.9128,0.9118,0.9109
0.6475,3,0.0093,0.9128,0.9118,0.9109
0.648,3,0.0093,0.9128,0.9118,0.9109
0.6485,3,0.0093,0.9128,0.9118,0.9109
0.649,3,0.0093,0.9128,0.9118,0.9109
0.6495,3,0.0093,0.9128,0.9118,0.9109
0.65,3,0.0093,0.9128,0.9118,0.9109
0.6505,3,0.0093,0.9128,0.9118,0.9109
0.651,3,0.0093,0.9128,0.9118,0.9109
0.6515,3,0.0093,0.9128,0.9118,0.9109
0.652,3,0.0093,0.9128,0.9118,0.9109
0.6525,3,0.0093,0.9128,0.9118,0.9109
0.653,3,0.0093,0.9128,0.9118,0.9109
0.6535,3,0.0093,0.9128,0.9118,0.9109
0.654,3,0.0093,0.9128,0.9118,0.9109
0.6545,3,0.0093,0.9128,0.9118,0.9109
0.655,3,0.0093,0.9128,0.9118,0.9109
0.6555,3,0.0093,0.9128,0.9118,0.9109
0.656,3,0.0093,0.9128,0.9118,0.9109
0.6565,3,0.0093,0.9128,0.9118,0.9109
0.657,3,0.0093,0.9128,0.9118,0.9109
0.6575,3,0.0093,0.9128,0.9118,0.9109
0.658,3,0.0093,0.9128,0.9118,0.9109
0.6585,3,0.0093,0.9128,0.9118,0.9109
0.659,3,0.0093,0.9128,0.9118,0.9109
0.6595,3,0.0093,0.9128,0.9118,0.9109
0.66,3,0.0093,0.9128,0.9118,0.9109
0.6605,3,0.0093,0.9128,0.9118,0.9109
0.661,3,0.0093,0.9128,0.9118,0.9109
0.6615,3,0.0093,0.9128,0.9118,0.9109
0.662,3,0.0093,0.9128,0.9118,0.9109
0.6625,3,0.0093,0.9128,0.9118,0.9109
0.663,4,0.0125,0.9128,0.9115,0.9103
0.6635,4,0.0125,0.9128,0.9115,0.9103
0.664,4,0.0125,0.9128,0.9115,0.9103
0.6645,4,0.0125,0.9128,0.9115,0.9103
0.665,4,0.0125,0.9128,0.9115,0.9103
0.6655,4,0.0125,0.9128,0.9115,0.9103
0.666,4,0.0125,0.9128,0.9115,0.9103
0.6665,4,0.0125,0.9128,0.9115,0.9103
0.667,4,0.0125,0.9128,0.9115,0.9103
0.6675,4,0.0125,0.9128,0.9115,0.9103
0.668,4,0.0125,0.9128,0.9115,0.9103
0.6685,4,0.0125,0.9128,0.9115,0.9103
0.669,4,0.0125,0.9128,0.9115,0.9103
0.6695,4,0.0125,0.9128,0.9115,0.9103
0.67,4,0.0125,0.9128,0.9115,0.9103
0.6705,4,0.0125,0.9128,0.9115,0.9103
0.671,4,0.0125,0.9128,0.9115,0.9103
0.6715,4,0.0125,0.9128,0.9115,0.9103
0.672,4,0.0125,0.9128,0.9115,0.9103
0.6725,4,0.0125,0.9128,0.9115,0.9103
0.673,4,0.0125,0.9128,0.9115,0.9103
0.6735,4,0.0125,0.9128,0.9115,0.9103
0.674,4,0.0125,0.9128,0.9115,0.9103
0.6745,4,0.0125,0.9128,0.9115,0.9103
0.675,4,0.0125,0.9128,0.9115,0.9103
0.6755,4,0.0125,0.9128,0.9115,0.9103
0.676,4,0.0125,0.9128,0.9115,0.9103
0.6765,4,0.0125,0.9128,0.9115,0.9103
